Latitude,Longitude,Name,rating,total_ratings,Resort,Call Category,Initial Category,Secondary Category,Tertiary Category
39.63941080000001,-106.3678356,Manor Vail Lodge,4.7,370.0,Vail,Restaurants,bar,lodging,restaurant
39.64157799999999,-106.371678,Gravity Haus Vail,4.4,256.0,Vail,Restaurants,gym,spa,lodging
39.6426389,-106.3778035,Leonora,4.3,167.0,Vail,Restaurants,restaurant,food,point_of_interest
39.6389618,-106.3693787,Larkspur Events & Dining,4.5,198.0,Vail,Restaurants,restaurant,food,point_of_interest
39.63037000000001,-106.418694,Subway,2.7,105.0,Vail,Restaurants,meal_takeaway,restaurant,food
39.6408609,-106.3746646,Sweet Basil,4.4,838.0,Vail,Restaurants,bar,restaurant,food
39.6402275,-106.3743814,Elway's,4.3,385.0,Vail,Restaurants,bar,restaurant,food
39.6439143,-106.3900881,The Little Diner,4.7,1390.0,Vail,Restaurants,restaurant,food,point_of_interest
39.6402477,-106.3733325,Red Lion,3.9,740.0,Vail,Restaurants,bar,restaurant,food
39.64148999999999,-106.3974714,Chicago Pizza,3.9,216.0,Vail,Restaurants,meal_delivery,meal_takeaway,restaurant
