Resort,state_province_territory,Country,City,Overall Rating,Elevation Difference,Elevation Low,Elevation High,Trails Total,Trails Easy,Trails Intermediate,Trails Difficult,Lifts,Price,Resort Size,Run Variety,Lifts Quality,Latitude,Longitude,Pass,Region
49 Degrees North Mountain Resort,Washington,United States,Chewelah,3.4,564,1196,1760,68.0,20.0,27.0,21.0,7,82.0,3.5,4.0,3.3,48.2773745,-117.7018155,Other,West
Crystal Mountain (WA),Washington,United States,Sunrise,3.3,796,1341,2137,50.0,8.0,27.0,15.0,11,199.0,3.2,3.6,3.7,46.9281666,-121.5045349,Ikon,West
Mt. Baker,Washington,United States,White Salmon,3.4,455,1070,1525,100.0,24.0,45.0,31.0,10,91.0,3.9,4.3,3.0,45.7277747,-121.4866994,Other,West
Mt. Spokane,Washington,United States,Mead,3.0,610,1185,1795,26.0,6.5,16.0,3.5,7,75.0,2.7,3.1,3.0,47.9190719,-117.0925053,Other,West
Sitzmark,Washington,United States,Tonasket,2.6,155,1330,1485,7.5,2.0,3.0,2.5,2,50.0,1.9,2.4,2.9,48.863907,-119.165077,Other,West
Stevens Pass,Washington,United States,Baring,3.3,580,1170,1750,39.0,6.0,18.0,15.0,10,119.0,3.1,3.5,3.6,47.764031,-121.4748217,Epic,West
The Summit at Snoqualmie,Washington,United States,Snoqualmie Pass,3.0,380,800,1180,27.9,5.2,13.7,9.0,22,135.0,2.6,3.0,3.2,47.405235,-121.4127829,Ikon,West
Wenatchee Mission Ridge,Washington,United States,Wenatchee,3.2,686,1392,2078,36.0,4.0,21.0,11.0,4,119.0,2.9,3.3,3.6,47.2924657,-120.399871,Other,West
Abenaki,New Hampshire,United States,Wolfeboro,2.1,70,180,250,2.0,1.2,0.5,0.3,1,24.0,1.4,1.8,1.4,43.609528,-71.229692,Other,Northeast
Attitash Mountain Resort,New Hampshire,United States,Bartlett,3.2,533,183,716,37.0,7.4,17.4,12.2,8,129.0,2.9,3.3,3.7,44.0846027,-71.2215255,Epic,Northeast
