datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,icon,stations,resort,tzoffset,severerisk,type_freezingrain,type_ice,type_none,type_rain,type_snow
2019-01-01,16.4,2.0,7.0,10.2,-13.3,-0.6,-1.2,69.1,0.008,100.0,20.83,0.0,20.7,18.3,10.6,4.9,1014.5,59.0,8.6,116.8,9.9,5.0,07:26:20,16:51:51,0.85,snow,"['72467523063', '72206103038', 'CACMC', 'KCCU', 'KEGE', 'KLXV', 'DJTC2', 'K20V', '72467393009']",Vail,0.0,0.0,0,0,0,0,1
2019-01-02,24.3,-0.9,11.4,21.9,-11.9,5.4,-10.5,39.9,0.004,100.0,4.17,0.0,20.8,29.77377049180328,8.7,353.1,1021.4,0.0,9.9,121.6,10.7,5.0,07:26:27,16:52:41,0.89,snow,"['72467523063', '72206103038', 'CACMC', 'KCCU', 'KEGE', 'KLXV', 'DJTC2', 'K20V', '72467393009']",Vail,0.0,0.0,0,0,0,0,1
2019-01-03,29.0,5.3,17.6,21.9,-4.0,8.6,4.1,56.1,0.004,100.0,4.17,0.2,20.8,32.2,9.8,328.9,1024.7,0.0,9.8,123.3,10.6,5.0,07:26:31,16:53:33,0.92,snow,"['72467523063', '72206103038', 'CACMC', 'KCCU', 'KEGE', 'KLXV', 'DJTC2', 'K20V', '72467393009']",Vail,0.0,0.0,0,0,0,1,1
2019-01-04,34.0,11.9,23.4,28.7,3.4,17.1,7.0,50.4,0.001,100.0,4.17,0.1,20.8,20.8,9.0,311.0,1025.5,0.0,9.9,123.7,10.7,5.0,07:26:34,16:54:26,0.96,snow,"['72467523063', '72206103038', 'CACMC', 'KCCU', 'KEGE', 'KLXV', 'DJTC2', 'K20V', '72467393009']",Vail,0.0,0.0,0,0,0,1,1
2019-01-05,34.1,14.3,27.1,29.4,4.3,20.1,1.9,33.9,0.001,100.0,4.17,0.0,20.4,20.8,10.1,243.5,1022.2,19.4,9.7,110.3,9.6,5.0,07:26:34,16:55:20,0.0,rain,"['72467523063', '72206103038', 'CACMC', 'DYGC2', 'KCCU', 'KEGE', 'KLXV', 'DJTC2', 'K20V', '72467393009']",Vail,0.0,0.0,0,0,0,1,1
2019-01-06,29.9,18.5,25.9,22.4,5.1,16.1,18.1,72.5,0.035,100.0,58.33,0.6,20.6,33.3,16.9,266.7,1009.3,78.7,6.3,47.3,4.1,2.0,07:26:32,16:56:16,0.02,snow,"['72467523063', '72206103038', 'CACMC', '72038500419', 'DYGC2', 'KCCU', 'KEGE', 'A0000594076', 'KLXV', 'DJTC2', 'K20V', '72467393009']",Vail,0.0,0.0,0,0,0,1,1
2019-01-07,24.8,14.7,20.3,12.8,2.5,6.5,13.7,75.2,0.004,100.0,8.33,0.4,21.3,45.7,27.9,271.2,1015.6,83.7,4.8,35.8,3.0,2.0,07:26:27,16:57:13,0.06,snow,"['72467523063', '72206103038', 'CACMC', 'DYGC2', 'KCCU', 'KEGE', 'KLXV', 'DJTC2', 'K20V', '72467393009']",Vail,0.0,0.0,0,0,0,0,1
2019-01-08,34.6,17.2,25.1,34.6,5.0,17.8,12.0,59.5,0.013,100.0,8.33,0.0,21.3,27.7,15.2,312.1,1029.4,34.5,9.5,122.9,10.5,5.0,07:26:21,16:58:11,0.09,rain,"['72467523063', '72206103038', 'CACMC', 'KCCU', 'KEGE', 'KLXV', 'DJTC2', 'K20V', '72467393009']",Vail,0.0,0.0,0,0,0,1,1
2019-01-09,38.3,23.0,28.6,38.3,13.6,22.6,9.9,45.4,0.0,0.0,0.0,0.0,21.2,23.0,13.0,142.9,1029.6,1.0,9.9,114.0,9.8,5.0,07:26:12,16:59:11,0.12,clear-day,"['72467523063', '72206103038', 'CACMC', 'KCCU', 'KEGE', 'KLXV', 'DJTC2', 'K20V', '72467393009']",Vail,0.0,0.0,0,0,1,0,0
2019-01-10,33.7,17.0,26.4,33.7,9.8,22.6,14.3,60.6,0.026,100.0,12.5,0.8,21.4,17.2,8.8,323.7,1023.3,39.9,8.3,75.9,6.6,4.0,07:26:01,17:00:11,0.16,snow,"['72467523063', '72206103038', 'CACMC', 'KCCU', 'KEGE', 'KLXV', 'DJTC2', 'K20V', '72467393009']",Vail,0.0,0.0,0,0,0,1,1
