business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,resort,category,opening_hours,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 42.93527069999999, 'lng': -81.31630609999999}, 'viewport': {'northeast': {'lat': 42.9366807802915, 'lng': -81.31517461970849}, 'southwest': {'lat': 42.9339828197085, 'lng': -81.3178725802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,医生家庭,,ChIJY0nLZwDxLogR02EpW4__k74,"{'compound_code': 'WMPM+4F London, ON, Canada', 'global_code': '86JWWMPM+4F'}",,ChIJY0nLZwDxLogR02EpW4__k74,GOOGLE,"['hospital', 'health', 'point_of_interest', 'establishment']",,"3030 Colonel Talbot Road, London",Boler Mountain – London,Medical,,,
OPERATIONAL,"{'location': {'lat': 50.1182245, 'lng': -122.9576213}, 'viewport': {'northeast': {'lat': 50.1196763302915, 'lng': -122.9563372697085}, 'southwest': {'lat': 50.1169783697085, 'lng': -122.9590352302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,助ぼショップ,,ChIJkYmKHwA9h1QR9ZrjbxfQQJg,"{'compound_code': '429R+7X Whistler, BC, Canada', 'global_code': '942V429R+7X'}",,ChIJkYmKHwA9h1QR9ZrjbxfQQJg,GOOGLE,"['shopping_mall', 'point_of_interest', 'establishment']",,"4369 Main Street #106, Whistler",Whistler Blackcomb,Shopping,,,
OPERATIONAL,"{'location': {'lat': 40.6088903, 'lng': -111.798333}, 'viewport': {'northeast': {'lat': 40.6102738302915, 'lng': -111.7968855697085}, 'southwest': {'lat': 40.6075758697085, 'lng': -111.7995835302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,サイズ WACKO MARIA - ワコマリアの通販 by ぱぴん｜ワコマリアならラクマ カテゴリ,,ChIJAQCEJCVjUocR-rsaELIKbx8,"{'compound_code': 'J652+HM Salt Lake City, UT, USA', 'global_code': '85GCJ652+HM'}",,ChIJAQCEJCVjUocR-rsaELIKbx8,GOOGLE,"['clothing_store', 'store', 'point_of_interest', 'establishment']",,"3410 Bengal Boulevard, Salt Lake City",Brighton,Shopping,,,
OPERATIONAL,"{'location': {'lat': 50.1173659, 'lng': -122.9552838}, 'viewport': {'northeast': {'lat': 50.1185827802915, 'lng': -122.9542221197085}, 'southwest': {'lat': 50.1158848197085, 'lng': -122.9569200802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,ウィスラー オリンピック プラザ,,ChIJfTIiBbM8h1QRz8eIiO-N3Ss,"{'compound_code': '428V+WV Whistler, BC, Canada', 'global_code': '942V428V+WV'}",,ChIJfTIiBbM8h1QRz8eIiO-N3Ss,GOOGLE,"['shopping_mall', 'point_of_interest', 'establishment']",,"4144 Village Stroll, Whistler",Whistler Blackcomb,Shopping,,,
OPERATIONAL,"{'location': {'lat': 41.0361839, 'lng': -75.30326269999999}, 'viewport': {'northeast': {'lat': 41.0374862302915, 'lng': -75.30204791970849}, 'southwest': {'lat': 41.0347882697085, 'lng': -75.3047458802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/convenience_pinlet,⏰uick & fresh,,ChIJb8tufgCLxIkRgcMotdAANz8,"{'compound_code': '2MPW+FM Tannersville, PA, USA', 'global_code': '87H62MPW+FM'}",,ChIJb8tufgCLxIkRgcMotdAANz8,GOOGLE,"['convenience_store', 'store', 'point_of_interest', 'food', 'establishment']",,"2909 Pennsylvania 611, Tannersville",Camelback,Grocery,{'open_now': False},,
OPERATIONAL,"{'location': {'lat': 45.4041525, 'lng': -71.8929769}, 'viewport': {'northeast': {'lat': 45.40550948029149, 'lng': -71.89160361970849}, 'southwest': {'lat': 45.40281151970849, 'lng': -71.89430158029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,متجر تسوق,,ChIJeS2Ikr-zt0wRHuEVUFCAs0g,"{'compound_code': 'C434+MR Sherbrooke, QC, Canada', 'global_code': '87QCC434+MR'}",,ChIJeS2Ikr-zt0wRHuEVUFCAs0g,GOOGLE,"['shopping_mall', 'point_of_interest', 'establishment']",,شيربروك، كيبيك،,Mont Bellevue,Shopping,,,
OPERATIONAL,"{'location': {'lat': 64.8917451, 'lng': -147.9410637}, 'viewport': {'northeast': {'lat': 64.89296463029152, 'lng': -147.9400261197085}, 'southwest': {'lat': 64.8902666697085, 'lng': -147.9427240802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,"Тайландски ресторант ""Вкусът на Тайланд на Сам""","[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114116168372587791635"">Magali Philip</a>'], 'photo_reference': 'AXCi2Q60yi2L35KtymczW1GsWODoPMPxjYaRLBvljRDHDwpP7u6CoXfxEtF-G2O2981Uftd-_RPr2x9P-5A3EBUjLdFAaYbibhsOJDZ099pxdWq88UmR2NPUW2zezD99zVtF92uqFNCmhTHo2l1KpK0iOdpdBbsC7_ko5s1iiQ3wqkuFcmYp', 'width': 4032}]",ChIJp9PUDyxDMlERVXU_XrPTl_4,"{'compound_code': 'V3R5+MH Fairbanks, AK, USA', 'global_code': '93PJV3R5+MH'}",4.7,ChIJp9PUDyxDMlERVXU_XrPTl_4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",132.0,"806 Sheep Creek Road, Fairbanks",Moose Mountain,Restaurants,{'open_now': True},,
CLOSED_TEMPORARILY,"{'location': {'lat': 52.7741239, 'lng': -108.2987476}, 'viewport': {'northeast': {'lat': 52.7754727302915, 'lng': -108.2975584697085}, 'southwest': {'lat': 52.7727747697085, 'lng': -108.3002564302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Картофельный пончик,,ChIJ6b2JeZkFBlMRkmSrMsUJ4JA,"{'compound_code': 'QPF2+JG North Battleford, SK, Canada', 'global_code': '954HQPF2+JG'}",,ChIJ6b2JeZkFBlMRkmSrMsUJ4JA,GOOGLE,"['bar', 'point_of_interest', 'establishment']",,"1146 100 Street, North Battleford",Table Mountain,Bars,,,True
OPERATIONAL,"{'location': {'lat': 60.06361339999999, 'lng': -128.717219}, 'viewport': {'northeast': {'lat': 60.0649136802915, 'lng': -128.7153383197085}, 'southwest': {'lat': 60.06221571970849, 'lng': -128.7180362802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,"Канадски ресторант ""Тагс""","[{'height': 2905, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103833399759396299586"">Gabe Shakour</a>'], 'photo_reference': 'AXCi2Q4clWDbvbvAqJ5twmVe3ZJvpO4paK-86SwLvlOoy60ljMaYK06lD1-3hk02qHA9Lz9Rn-8X1wLJmsY5FQQXMSeT6dzpo0Sr_7M90nf70ZKz8gj606uZ--0MIt5LGvcrls25YSO-9YQ6nKJQ6-tcQczdhsy-qfRYPN3L8GR1TpVq95GK', 'width': 3870}]",ChIJAQBA7gBZ-1MR3A3tF3jUfDc,"{'compound_code': '377M+C4 Watson Lake, YT, Canada', 'global_code': '94GH377M+C4'}",4.2,ChIJAQBA7gBZ-1MR3A3tF3jUfDc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",96.0,Watson Lake,Mount Maichen,Restaurants,{'open_now': False},,
OPERATIONAL,"{'location': {'lat': 46.3958754, 'lng': -70.4962135}, 'viewport': {'northeast': {'lat': 46.39733203029149, 'lng': -70.49452266970849}, 'southwest': {'lat': 46.39463406970849, 'lng': -70.49722063029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Ō Manoir - Resto & Spectacles,,ChIJh-eHUK8LuUwReKrOZgTy7Uo,"{'compound_code': '9GW3+9G Lac-Etchemin, QC, Canada', 'global_code': '87RF9GW3+9G'}",5.0,ChIJh-eHUK8LuUwReKrOZgTy7Uo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,"1415 Québec 277, Lac-Etchemin",Mont Orignal – Lac Etchemin,Restaurants,{'open_now': False},,
