,month,temp,dew,humidity,precip,snow,snowdepth,windspeed,pressure,cloudcover,visibility,Elevation Low,Elevation High,Region_Atlantic region,Region_Central Canada,Region_Midwest,Region_North,Region_Northeast,Region_Prairie Provinces,Region_Southeast,Region_Southwest,Region_West,Region_West Coast,Pass
323,12,34.26193548387097,26.379354838709677,74.35612903225807,0.07670322580645161,0.5296774193548387,2.0064516129032257,14.427096774193547,1017.8083870967741,67.62258064516129,8.56516129032258,609,841,0,0,0,0,1,0,0,0,0,0,Epic
132,1,26.490860215053765,19.466129032258063,75.82849462365591,0.1036774193548387,0.20376344086021506,0.28978494623655915,19.003225806451614,1016.8516129032258,63.07419354838709,8.510215053763442,380,623,0,0,0,0,1,0,0,0,0,0,Ikon
382,11,39.29266666666666,28.145333333333333,67.57866666666666,0.02932,0.11466666666666667,0.10133333333333334,13.215333333333334,1019.7366666666667,28.293333333333333,9.233333333333333,1737,2763,0,0,0,0,0,0,0,0,1,0,Ikon
265,2,28.48235294117647,12.8,56.50176470588235,0.05322941176470588,2.041764705882353,16.901176470588233,14.57529411764706,1018.0570588235295,29.054117647058824,9.08529411764706,2288,3075,0,0,0,0,0,0,0,0,1,0,Ikon
444,1,15.25,9.917204301075268,79.60053763440861,0.051198924731182795,0.3424731182795699,22.33010752688172,8.918279569892473,1018.5827956989247,65.61827956989248,8.654761904761905,1150,2365,0,0,0,0,0,0,0,0,0,1,Ikon
765,10,43.04516129032258,37.743870967741934,84.08451612903227,0.16976129032258064,0.4012903225806452,2.6316129032258067,3.779354838709677,1018.1890322580645,71.02193548387096,10.255384615384616,675,2284,0,0,0,0,0,0,0,0,0,1,Epic
433,2,30.576470588235296,19.279411764705884,66.87882352941176,0.1514470588235294,2.750588235294118,61.88470588235294,12.590588235294119,1018.1382352941176,40.96529411764706,8.228823529411764,1890,2745,0,0,0,0,0,0,0,0,1,0,Ikon
41,6,45.79111111111111,27.64611111111111,52.837777777777774,0.03487777777777778,0.18944444444444444,3.4450000000000003,22.06222222222222,1029.021111111111,39.553888888888885,9.344444444444445,3286,3790,0,0,0,0,0,0,0,0,1,0,Ikon
778,11,34.12466666666666,25.800666666666665,73.42266666666666,0.08379333333333333,0.5433333333333333,1.5093333333333334,9.143333333333333,1017.8080000000001,56.57933333333333,9.173333333333334,594,1238,0,0,0,0,1,0,0,0,0,0,Epic
108,1,17.940322580645162,5.701075268817204,62.34516129032259,0.005672043010752688,0.7779569892473117,14.529569892473118,21.778494623655916,1016.9247311827957,55.88602150537634,7.200537634408602,2926,3914,0,0,0,0,0,0,0,0,1,0,Epic
