month,temp,dew,humidity,precip,snow,snowdepth,windspeed,pressure,cloudcover,visibility,Elevation Low,Elevation High,Region_Atlantic region,Region_Central Canada,Region_Midwest,Region_North,Region_Northeast,Region_Prairie Provinces,Region_Southeast,Region_Southwest,Region_West,Region_West Coast,Pass
1,18.919354838709676,12.31505376344086,75.73225806451613,0.010086021505376346,0.1989247311827957,0.9456989247311828,11.360752688172042,1018.8177419354839,54.38010752688172,8.500537634408603,280,387,0,0,1,0,0,0,0,0,0,0,Epic
2,19.53058823529412,10.913529411764706,69.93588235294118,0.01654705882352941,0.22176470588235295,1.698235294117647,12.598823529411765,1018.6111764705882,35.67823529411765,8.908823529411764,280,387,0,0,1,0,0,0,0,0,0,0,Epic
3,33.855376344086025,22.389247311827955,65.59193548387097,0.06445698924731183,0.17688172043010753,0.5182795698924731,13.482258064516127,1017.3618279569891,41.86075268817204,9.093548387096774,280,387,0,0,1,0,0,0,0,0,0,0,Epic
4,45.02111111111111,31.383333333333333,62.63444444444445,0.08491666666666667,0.07722222222222222,0.07666666666666667,14.6,1012.9455555555556,48.75944444444445,9.296666666666667,280,387,0,0,1,0,0,0,0,0,0,0,Epic
5,59.2,43.96666666666667,61.0489247311828,0.13004301075268818,0.0,0.0,12.538172043010752,1014.4854838709676,38.95591397849462,9.448924731182796,280,387,0,0,1,0,0,0,0,0,0,0,Epic
6,71.01611111111112,55.46666666666667,61.34277777777778,0.12012222222222223,0.0,0.0,12.536666666666665,1012.4272222222222,28.42666666666667,9.587777777777777,280,387,0,0,1,0,0,0,0,0,0,0,Epic
7,73.43817204301075,61.43924731182796,68.78548387096774,0.09234408602150537,0.0,0.0,11.393548387096773,1014.5005376344086,25.43978494623656,9.441935483870967,280,387,0,0,1,0,0,0,0,0,0,0,Epic
8,71.06397849462365,59.90268817204301,70.32956989247312,0.13638172043010754,0.0,0.0,11.349462365591398,1015.0284946236559,31.55483870967742,9.56236559139785,280,387,0,0,1,0,0,0,0,0,0,0,Epic
9,63.87133333333334,53.45466666666667,71.61,0.07684666666666667,0.0,0.0,11.771333333333333,1015.6373333333333,33.843333333333334,9.435333333333332,280,387,0,0,1,0,0,0,0,0,0,0,Epic
10,48.615483870967736,38.00774193548387,69.11548387096774,0.07503870967741935,0.04258064516129032,0.04709677419354839,12.741290322580646,1015.3677419354839,43.53677419354839,9.428387096774195,280,387,0,0,1,0,0,0,0,0,0,0,Epic
