Resort,Predicted,Percentage
49 Degrees North Mountain Resort,Epic,1.0
Abenaki,Epic,1.0
Adanac Ski Hill,Epic,1.0
Alpine Mountain Ski & Snow Tubing Center,Epic,1.0
Alpine Ski Club Collingwood,Epic,0.9166666666666666
Alpine Ski Club Collingwood,Ikon,0.08333333333333333
Alpine Valley Resort Elkhorn,Epic,1.0
Alpine Valley White Lake,Epic,1.0
Andes Tower Hills,Epic,0.8333333333333334
Andes Tower Hills,Ikon,0.16666666666666666
Angel Fire,Ikon,1.0
Antoine Mountain,Epic,1.0
Apache,Epic,1.0
Apex Mountain Resort,Ikon,1.0
Appalachian Ski Mountain,Ikon,1.0
Arizona Snowbowl,Epic,1.0
Asessippi,Epic,0.8333333333333334
Asessippi,Ikon,0.16666666666666666
Aspen Highlands,Epic,1.0
Aspen Mountain,Ikon,1.0
Badger Pass,Ikon,1.0
Bald Mountain Sun Valley,Ikon,1.0
Baldy Mountain Resort,Ikon,1.0
Banff Sunshine,Ikon,1.0
Bear Mountain Big Bear Lake,Ikon,1.0
Bear Valley,Epic,1.0
Beaver Mountain,Ikon,1.0
Beaver Valley Ski Club,Epic,1.0
Belle Neige,Epic,1.0
Ben Eoin,Ikon,1.0
Big Squaw,Epic,0.6666666666666666
Big Squaw,Ikon,0.3333333333333333
Big White,Ikon,1.0
Black Rapid,Ikon,1.0
Black River Basin (Snowriver Mountain Resort),Epic,1.0
Blue Mountain Resort Collingwood,Epic,0.9166666666666666
Blue Mountain Resort Collingwood,Ikon,0.08333333333333333
Bogus Basin,Ikon,1.0
Boler Mountain London,Epic,1.0
Bolton Valley,Ikon,1.0
Bousquet,Epic,0.6666666666666666
Bousquet,Ikon,0.3333333333333333
Bradford,Ikon,1.0
Bretton Woods,Ikon,1.0
Brian Head,Ikon,1.0
Bridger Bowl Bozeman,Ikon,1.0
Brimacombe (Oshawa Ski Club),Epic,1.0
Bristol Mountain,Epic,1.0
Bromley Mountain,Epic,1.0
Bromont,Epic,0.9166666666666666
