day_of_year,temp,dew,humidity,pressure,latitude,longitude,icon
97,36.2,18.3,49.0,1024.1,45.8884113,-74.1401733,other
215,75.4,40.0,34.1,1024.4,45.26599,-111.25312,clear-day
33,22.7,18.5,84.2,995.9,45.6798707,-65.3812678,snow
229,67.5,60.3,79.2,1014.4,50.21329679999999,-66.3757921,rain
103,30.1,24.2,79.5,1010.3,48.5259978,-89.1279428,snow
88,45.7,13.0,27.5,1017.6,35.9410361,-106.2757514,clear-day
31,40.1,35.4,83.3,1015.1,49.8442168,-119.682713,snow
164,57.0,44.9,65.2,1010.8,44.353591,-73.8614118,rain
59,31.2,6.6,38.6,1029.6,37.9377457,-107.820799,clear-day
217,64.3,54.4,73.0,1018.9,44.5354009,-80.3788707,other
