,Eigenvalue
Principal Component 1,10.13289945447485
Principal Component 2,1.4857249249327644
Principal Component 3,1.2594217817807047
Principal Component 4,0.6531515679576005
Principal Component 5,0.42097598230374544
Principal Component 6,0.3172492978111962
Principal Component 7,0.20769810378833142
Principal Component 8,0.14569392260198882
Principal Component 9,0.1292903763139986
Principal Component 10,0.11505854237768867
Principal Component 11,0.10041273330166625
Principal Component 12,0.051633849902485714
Principal Component 13,0.020472002135509697
Principal Component 14,1.690841204669378e-16
Principal Component 15,0.0
