,Eigenvalue
Principal Component 1,8.130467898785643
Principal Component 2,3.0988204419740524
Principal Component 3,1.9597105996628936
Principal Component 4,1.1744413898401853
Principal Component 5,1.0042146391824511
Principal Component 6,0.979725934657245
Principal Component 7,0.9476837264398988
Principal Component 8,0.9066036082599582
Principal Component 9,0.8561518793748651
Principal Component 10,0.7593337262629624
Principal Component 11,0.7151821515933678
Principal Component 12,0.5741453404258268
Principal Component 13,0.33638070638517986
Principal Component 14,0.31579209182190826
Principal Component 15,0.1154693163005876
Principal Component 16,0.09257216244311002
Principal Component 17,0.014081541301333834
Principal Component 18,0.008751852415919342
Principal Component 19,0.0056746888099494025
Principal Component 20,0.00404961899917133
Principal Component 21,0.0006834254755353611
Principal Component 22,9.114178313650458e-05
