,principal_components,explained_variance,cumulative_variance
0,principal_component_1,0.36956625429396395,0.36956625429396395
1,principal_component_2,0.14085529611905423,0.5104215504130182
2,principal_component_3,0.08907764163557741,0.5994991920485956
3,principal_component_4,0.0533836318812428,0.6528828239298384
4,principal_component_5,0.045646062112274455,0.6985288860421128
5,principal_component_6,0.044532940590050155,0.743061826632163
6,principal_component_7,0.04307647842605089,0.7861383050582139
7,principal_component_8,0.04120920269349661,0.8273475077517105
8,principal_component_9,0.03891594519604025,0.8662634529477508
9,principal_component_10,0.03451512563206785,0.9007785785798186
10,principal_component_11,0.032508238417832694,0.9332868169976513
11,principal_component_12,0.026097482398669488,0.9593842993963207
12,principal_component_13,0.01529001273027548,0.9746743121265963
13,principal_component_14,0.014354167799827271,0.9890284799264235
14,principal_component_15,0.005248598634460729,0.9942770785608842
15,principal_component_16,0.004207820232720227,0.9984848987936045
16,principal_component_17,0.0006400692479453696,0.9991249680415498
17,principal_component_18,0.0003978109692761932,0.999522779010826
18,principal_component_19,0.00025794007354608753,0.999780719084372
19,principal_component_20,0.0001840733575819112,0.9999647924419539
20,principal_component_21,3.1064754971899985e-05,0.9999958571969259
21,principal_component_22,4.142803073911849e-06,0.9999999999999998
