,principal_component_1,principal_component_2,principal_component_3
Overall Rating,0.29556263942537314,0.12840906530483476,0.07040105210138639
Elevation Difference,0.2861906532938829,0.006434139358094976,0.12760512903880053
Elevation Low,0.21756461565023213,-0.5312079550952209,-0.23812566158022055
Elevation High,0.25907533599311416,-0.4244186615777289,-0.15344320349861978
Trails Total,0.30002780158443126,0.10689600409577425,0.08370449888147163
Trails Easy,0.26265050778851856,0.12732898691150799,0.0756401056675659
Trails Intermediate,0.289895750933014,0.09736552068822502,0.07206561573164377
Trails Difficult,0.2762460266292657,0.08700972445649155,0.08474553844192176
Lifts,0.2512729435785852,0.20149856009879624,-0.10909198418617512
Price,0.2890039611097471,0.0590498783348862,-0.11285080147703408
Resort Size,0.2987624021126678,0.08136808460908758,0.07649082036317366
Run Variety,0.296819043177344,0.04526553157387467,0.09194681588549657
Lifts Quality,0.21544869447008047,0.22729277498106096,-0.10190502460088341
Latitude,-0.08235384000601485,0.010182806038013957,0.8454424543644613
Longitude,-0.14038399447340263,0.6098708650900417,-0.3306203909143716
