,principal_component_1,principal_component_2
tempmax,0.34170220880472063,0.04484727564504578
tempmin,0.31812944494863304,0.19830722479727286
temp,0.33938112270765664,0.11682740189394523
feelslikemax,0.3403821450211627,0.061936231351596975
feelslikemin,0.3222869733955635,0.19370497079651358
feelslike,0.33888604079868057,0.12343670552697578
dew,0.2871684426439788,0.2973775177327895
humidity,-0.12201334404634845,0.4199508714242741
precip,-0.010097869802755271,0.21581052006998547
snow,-0.0828813882932487,0.0445019439634189
snowdepth,-0.10799994223356293,-0.08992273552661076
windgust,-0.03787253234572977,-0.04189742924567906
windspeed,-0.03603201684045354,-0.11826850092195865
winddir,0.006040918371964776,-0.11808838366555095
pressure,-0.04243874639028899,-0.24287076045521158
cloudcover,-0.14397805185785784,0.37849189291929825
visibility,0.03344157498894429,-0.09287917520469985
solarradiation,0.24917324420608228,-0.32880359037355666
solarenergy,0.24920761869857413,-0.32874912270436435
uvindex,0.2470594965770422,-0.3245115755944266
moonphase,0.002741685345874358,6.281428326894081e-05
severerisk,0.0680952749220335,0.07024994228331095
