,principal_component_1,principal_component_2,principal_component_3
tempmax,0.34170220880472063,0.04484727564504578,0.02181339871298073
tempmin,0.31812944494863304,0.19830722479727286,0.06290242728922009
temp,0.33938112270765664,0.11682740189394523,0.04613140668084857
feelslikemax,0.3403821450211627,0.061936231351596975,-0.00682655943564411
feelslikemin,0.3222869733955635,0.19370497079651358,0.007468819969053943
feelslike,0.33888604079868057,0.12343670552697578,0.0020906334213184356
dew,0.2871684426439788,0.2973775177327895,-0.004697573761873748
humidity,-0.12201334404634845,0.4199508714242741,-0.11595306199167915
precip,-0.010097869802755271,0.21581052006998547,0.16163496592603419
snow,-0.0828813882932487,0.0445019439634189,0.1662810669070333
snowdepth,-0.10799994223356293,-0.08992273552661076,0.11460579385169532
windgust,-0.03787253234572977,-0.04189742924567906,0.6081824063014474
windspeed,-0.03603201684045354,-0.11826850092195865,0.5853534179902093
winddir,0.006040918371964776,-0.11808838366555095,0.18300995271846865
pressure,-0.04243874639028899,-0.24287076045521158,-0.36721079886669816
cloudcover,-0.14397805185785784,0.37849189291929825,0.11229030515242656
visibility,0.03344157498894429,-0.09287917520469985,-0.12733396087839588
solarradiation,0.24917324420608228,-0.32880359037355666,0.0262077242917803
solarenergy,0.24920761869857413,-0.32874912270436435,0.026024257617209657
uvindex,0.2470594965770422,-0.3245115755944266,0.03138080115967224
moonphase,0.002741685345874358,6.281428326894081e-05,-0.015324431400847369
severerisk,0.0680952749220335,0.07024994228331095,-0.026230663068844483
